                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7224,                 6.4207,                0.70727,                 1.5647,                 2.3087,                0.14471,                   0.24,                0.05912,                0.00816,                0.52833,                   0.63,                0.42734,                0.13004,                  4.103,                 5.1499,                0.60045,                 1.6995,                 5.7994,             0.00065608,             0.00065608,             0.00065608
                      1,                 1.2873,                  4.367,                0.60228,                0.81445,                 1.8558,                0.92737,                   0.93,                0.89649,                 0.1751,                0.79762,                    0.8,                0.67864,                0.26115,                 2.9736,                 4.3544,                0.22778,                  1.584,                 3.9213,              0.0013097,              0.0013097,              0.0013097
                      2,                 1.2351,                 3.4468,                0.52595,                0.81598,                 1.7875,                0.94756,                   0.95,                 0.9064,                 0.1823,                0.79673,                    0.8,                0.64725,                0.23307,                 2.9543,                 3.6039,                0.13344,                 1.4363,                 3.4072,                0.00195,                0.00195,                0.00195
                      3,                 1.2157,                 2.7022,                0.48931,                0.79709,                 1.7633,                0.46976,                   0.65,                0.46954,                0.06384,                0.57939,                    0.8,                0.56939,                0.50627,                 3.4649,                 2.0658,                0.19677,                 1.7593,                  4.199,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.1491,                 2.2088,                  0.445,                0.78623,                 1.7067,                0.38865,                0.76287,                0.41511,                0.08198,                0.58455,                   0.78,                0.59088,                0.49646,                 3.0451,                 2.2169,                0.21136,                  1.915,                 2.9379,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1319,                 2.1571,                0.41854,                0.76275,                 1.6663,                0.77976,                   0.79,                0.63439,                0.09093,                0.78963,                    0.8,                0.66061,                0.59959,                 3.4003,                 2.0634,                0.16293,                 1.0025,                 4.4309,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0741,                 2.0037,                0.41324,                0.78331,                 1.6299,                0.95861,                   0.96,                0.94609,                0.23497,                0.79875,                    0.8,                0.66269,                0.64954,                 2.9158,                 1.8906,                0.11241,                0.97828,                 3.2138,               0.001901,               0.001901,               0.001901
                      7,                 1.0695,                 1.9582,                0.37469,                0.78453,                 1.6119,                0.78268,                0.79235,                0.75082,                0.20648,                0.79931,                    0.8,                0.68732,                0.67604,                   2.55,                 2.2609,                0.21203,                 1.9438,                 3.5752,              0.0018812,              0.0018812,              0.0018812
                      8,                0.98633,                 1.8511,                0.37716,                0.73709,                 1.5516,                 0.8751,                    0.9,                0.85918,                0.19281,                0.76359,                   0.79,                0.63559,                0.62719,                 2.7115,                  1.919,                0.23703,                 1.8122,                 3.5509,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0132,                 1.8372,                0.36427,                0.74175,                  1.587,                0.92847,                   0.93,                0.91067,                0.35441,                0.79856,                    0.8,                0.64282,                0.60021,                   1.24,                  2.189,                0.36178,                 2.0657,                 2.5196,              0.0018416,              0.0018416,              0.0018416
                     10,                0.96062,                 1.6746,                0.35404,                0.73739,                 1.5317,                0.87275,                   0.86,                0.85004,                0.20326,                 0.7985,                    0.8,                0.64476,                0.63581,                 2.3475,                  1.933,                0.15632,                 1.7596,                 3.4425,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.9561,                 1.6743,                0.34528,                0.70662,                 1.5193,                0.90778,                   0.91,                0.87871,                0.33173,                0.79715,                    0.8,                0.66449,                0.64177,                 1.7065,                  2.045,                0.12811,                 1.6945,                 3.0469,               0.001802,               0.001802,               0.001802
                     12,                0.94689,                 1.5991,                0.33764,                0.70727,                 1.5102,                0.91776,                   0.92,                0.84774,                0.18575,                 0.7979,                    0.8,                0.64905,                 0.6446,                   2.98,                 1.8176,                0.10942,                0.97593,                 3.7445,              0.0017822,              0.0017822,              0.0017822
                     13,                0.94394,                 1.6918,                 0.3284,                0.70705,                 1.5082,                0.87736,                   0.87,                0.89966,                0.34902,                0.75634,                   0.75,                0.65496,                0.64341,                 1.4903,                  2.091,                0.15134,                  1.388,                 2.6907,              0.0017624,              0.0017624,              0.0017624
                     14,                0.92829,                 1.6558,                0.31744,                0.68391,                 1.4952,                0.81816,                   0.82,                0.74225,                 0.2307,                0.79816,                    0.8,                0.68709,                0.67232,                 2.7609,                 1.9031,                0.11242,                 1.5773,                 4.0684,              0.0017426,              0.0017426,              0.0017426
                     15,                0.88538,                 1.5627,                0.31863,                0.67436,                 1.4712,                0.86978,                0.86836,                0.79922,                0.16627,                0.79974,                0.79872,                 0.6551,                 0.6487,                   2.57,                 1.8923,                0.11077,                 1.5199,                 3.6719,              0.0017228,              0.0017228,              0.0017228
                     16,                 0.9062,                 1.5286,                0.30758,                0.65769,                  1.474,                0.95921,                   0.96,                0.92934,                0.22487,                0.79926,                    0.8,                0.67374,                0.66264,                 2.9457,                 1.8572,                0.05617,                 1.1352,                 4.3648,               0.001703,               0.001703,               0.001703
                     17,                0.89131,                 1.5841,                0.31453,                0.68594,                 1.4801,                0.69933,                    0.7,                0.59343,                0.14136,                0.79927,                    0.8,                0.68114,                0.67442,                  3.181,                 1.8192,                0.08817,                 1.2761,                  4.793,              0.0016832,              0.0016832,              0.0016832
