                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4838,                 4.6013,                 0.7529,                  1.248,                 1.7575,                0.72056,                    0.8,                0.62483,                0.09976,                0.72046,                    0.8,                0.62048,                0.53908,                 3.0979,                 2.5225,                0.42377,                 3.3495,                 4.8296,             0.00066133,             0.00066133,             0.00066133
                      1,                 1.3215,                 2.6921,                  0.546,                 1.0011,                 1.6034,                0.81753,                   0.93,                0.90905,                0.33686,                0.69446,                   0.79,                0.60883,                0.51352,                 1.4902,                 4.0324,                0.45404,                 1.8175,                  2.559,              0.0013149,              0.0013149,              0.0013149
                      2,                 1.2855,                 2.4159,                0.48754,                  1.018,                 1.5835,                0.91853,                   0.92,                0.93751,                0.23987,                0.79812,                    0.8,                0.64207,                0.26188,                 2.0641,                 3.6834,                0.20453,                 2.6791,                 3.0737,              0.0019552,              0.0019552,              0.0019552
                      3,                 1.2104,                 2.3837,                 0.4515,                0.96784,                 1.5171,                 0.8209,                   0.83,                0.82442,                0.17615,                0.79111,                    0.8,                 0.6464,                 0.6359,                 2.3149,                 2.2618,                 0.2358,                 2.1539,                 3.1815,              0.0019406,              0.0019406,              0.0019406
                      4,                  1.191,                 2.0717,                0.40986,                0.94942,                 1.5014,                0.88853,                   0.89,                0.86874,                 0.3076,                0.79856,                    0.8,                0.66682,                0.62354,                  1.662,                 2.4136,                0.26613,                  1.636,                 2.6564,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1208,                 2.0954,                 0.3797,                0.89751,                 1.4387,                0.95553,                   0.96,                0.95386,                0.28999,                 0.7961,                    0.8,                0.65551,                0.53092,                 2.1127,                 2.5425,                0.21066,                 1.6172,                 3.1181,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0905,                  1.916,                0.36664,                0.85034,                 1.4176,                0.78653,                   0.78,                0.83378,                0.18925,                0.79893,                    0.8,                 0.6583,                0.59938,                 2.2826,                 2.3564,                0.15452,                 2.1729,                 3.3666,               0.001901,               0.001901,               0.001901
                      7,                 1.0998,                 2.0765,                0.36273,                0.89514,                 1.4299,                0.96723,                   0.97,                0.96834,                0.33735,                0.79735,                    0.8,                0.67437,                0.66706,                 1.6535,                 2.1938,                0.12764,                 1.5269,                 2.5114,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0613,                 1.7439,                0.34229,                0.87975,                 1.4028,                0.85308,                   0.85,                0.82348,                0.28289,                0.79792,                    0.8,                 0.6721,                0.65733,                 1.8037,                 2.2416,                0.27634,                  2.021,                 2.8003,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0002,                 1.8152,                0.33603,                0.83288,                 1.3548,                0.91789,                   0.92,                0.91586,                0.28941,                0.79812,                    0.8,                0.66169,                0.64694,                 1.5644,                 2.1529,                0.10832,                 1.8947,                 2.6883,              0.0018416,              0.0018416,              0.0018416
                     10,                0.98253,                 1.4787,                0.30495,                0.83752,                 1.3546,                0.92073,                0.92921,                0.97002,                0.35282,                0.79937,                    0.8,                0.67287,                0.66657,                 1.7429,                 2.1381,                0.11214,                 1.9683,                 2.8039,              0.0018218,              0.0018218,              0.0018218
                     11,                0.95912,                 1.4882,                0.31325,                 0.7654,                 1.3405,                0.90936,                   0.91,                0.91914,                0.32009,                0.79944,                    0.8,                0.65368,                 0.6431,                 1.7963,                 2.1259,                0.16467,                 1.9711,                 2.8373,               0.001802,               0.001802,               0.001802
                     12,                0.93523,                 1.6499,                0.30917,                0.75552,                  1.314,                0.86934,                   0.87,                0.88949,                0.37147,                0.79939,                    0.8,                0.66702,                0.66175,                 1.4888,                 2.1364,                0.15397,                 2.1763,                 2.4749,              0.0017822,              0.0017822,              0.0017822
                     13,                0.94982,                 1.3289,                0.30506,                0.80158,                 1.3289,                 0.9492,                   0.95,                0.94754,                0.31215,                0.79931,                    0.8,                0.69183,                0.66861,                 1.5555,                  2.288,                0.11366,                 2.0339,                 2.4009,              0.0017624,              0.0017624,              0.0017624
                     14,                0.94459,                 1.5865,                0.30346,                0.79346,                  1.319,                0.91936,                   0.92,                0.92624,                0.31728,                0.79925,                    0.8,                0.66406,                  0.651,                 1.4006,                 2.2307,                0.16307,                 1.8926,                   2.31,              0.0017426,              0.0017426,              0.0017426
