                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8099,                 6.8975,                 0.7156,                 1.8231,                 2.0708,                0.01155,                   0.63,                0.01211,                0.00248,                 0.0058,                    0.2,                0.00284,                0.00052,                 3.7777,                 8.7439,                0.70715,                    inf,                 7.8483,                0.00062,                0.00062,                0.00062
                      1,                 1.2534,                 3.5297,                0.58659,                0.98587,                  1.557,                0.11439,                   0.56,                0.09067,                0.01339,                0.11647,                   0.45,                0.08743,                0.04282,                 3.6088,                 4.3775,                0.43523,                 12.626,                 6.9228,              0.0012475,              0.0012475,              0.0012475
                      2,                 1.2193,                 2.8034,                0.53006,                0.96726,                 1.5242,                0.00962,                   0.24,                0.00518,                0.00075,                0.02983,                   0.45,                0.01789,                0.01004,                 3.9706,                 4.9366,                0.49754,                 67.136,                 7.2132,              0.0018624,              0.0018624,              0.0018624
                      3,                 1.1818,                 2.3925,                0.49734,                0.91448,                 1.5167,                0.72548,                    0.8,                0.80384,                0.16348,                0.59952,                   0.72,                0.54752,                0.45612,                 2.2657,                 2.6167,                0.33646,                  3.449,                 3.6104,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.1665,                 2.1616,                0.47341,                0.87199,                 1.4693,                0.22246,                   0.53,                0.19547,                0.06178,                0.14918,                   0.29,                0.08656,                0.05755,                 1.7943,                 5.1792,                0.32569,                 3.5136,                 2.9615,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1268,                 2.1199,                0.44934,                0.89147,                 1.4376,                0.89566,                   0.98,                0.96477,                0.22401,                 0.7344,                    0.8,                0.63341,                 0.5823,                 2.2823,                 2.2172,                0.29141,                 3.4838,                 3.2828,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0554,                 2.1484,                0.42614,                0.82808,                 1.3847,                0.90757,                   0.92,                0.87901,                0.16969,                0.78895,                    0.8,                0.66076,                0.63445,                 1.6866,                 2.3199,                0.23648,                 2.4656,                 2.5722,               0.001901,               0.001901,               0.001901
                      7,                 1.0461,                 1.9386,                0.39557,                0.82766,                 1.3835,                0.87231,                   0.84,                 0.8852,                0.25643,                0.73927,                0.73723,                0.61831,                0.53776,                 1.9311,                 2.4736,                0.21201,                  2.285,                 3.4118,              0.0018812,              0.0018812,              0.0018812
                      8,                 0.9907,                 1.8534,                0.39524,                0.81482,                 1.3644,                0.79579,                   0.82,                0.84868,                0.22833,                0.77276,                    0.8,                0.67214,                0.66865,                 1.7342,                 2.3137,                0.20704,                 2.2847,                 2.8953,              0.0018614,              0.0018614,              0.0018614
                      9,                0.97509,                 1.7058,                0.38324,                0.79086,                 1.3268,                0.92607,                   0.93,                 0.9424,                0.32229,                0.79702,                    0.8,                0.65714,                0.64647,                 1.4534,                 2.1583,                0.22569,                 2.2603,                 2.3725,              0.0018416,              0.0018416,              0.0018416
                     10,                0.94926,                 1.7073,                0.36446,                0.78205,                 1.3372,                0.91848,                   0.92,                0.89897,                 0.2225,                0.79865,                    0.8,                0.65292,                0.61842,                 1.5457,                 2.2088,                0.22673,                 2.1968,                 2.4719,              0.0018218,              0.0018218,              0.0018218
                     11,                0.93391,                 1.7538,                 0.3569,                0.78216,                 1.3007,                0.49871,                      1,                0.68896,                0.32588,                0.79936,                    0.8,                0.69006,                 0.6751,                 1.4166,                 2.1061,                0.26279,                 2.4386,                 2.3534,               0.001802,               0.001802,               0.001802
                     12,                0.94383,                 1.6378,                0.35027,                0.76062,                 1.3091,                 0.8996,                    0.9,                0.87354,                0.32038,                 0.7987,                    0.8,                0.64935,                0.59991,                 1.3671,                 2.1903,                0.18293,                 2.3149,                 2.2746,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.9242,                 1.5526,                0.32259,                0.76952,                 1.2888,                0.88668,                    0.8,                0.80631,                0.23714,                0.78664,                   0.71,                0.58972,                0.51038,                 1.9706,                 3.5669,                0.70598,                 1.8551,                 2.9362,              0.0017624,              0.0017624,              0.0017624
                     14,                0.89599,                 1.2447,                0.30972,                0.77196,                 1.2775,                0.92921,                   0.93,                0.94336,                0.42362,                0.79949,                    0.8,                0.68961,                 0.6873,                 1.1993,                 2.1287,                0.16154,                 2.1092,                 2.1017,              0.0017426,              0.0017426,              0.0017426
                     15,                0.90073,                 1.6222,                0.33807,                0.75433,                 1.2696,                  0.938,                   0.94,                0.94434,                0.39924,                0.79826,                    0.8,                0.65284,                0.64296,                 1.3613,                 2.1097,                0.14778,                   2.02,                 2.2135,              0.0017228,              0.0017228,              0.0017228
                     16,                0.87042,                 1.5434,                0.31853,                0.75233,                 1.2525,                0.96692,                   0.97,                0.97481,                 0.4347,                0.79791,                    0.8,                0.67032,                0.66338,                 1.4402,                 2.1704,                0.11752,                 1.9529,                 2.2291,               0.001703,               0.001703,               0.001703
                     17,                0.86915,                  1.459,                0.33113,                0.74102,                 1.2588,                  0.891,                0.89921,                0.87902,                0.39854,                0.79916,                    0.8,                0.68784,                0.68171,                 1.1948,                 2.1223,                0.19184,                 2.0048,                 2.1028,              0.0016832,              0.0016832,              0.0016832
                     18,                0.86277,                 1.5009,                0.30619,                0.74505,                 1.2524,                0.95866,                   0.97,                0.97962,                0.42934,                0.79052,                    0.8,                0.68319,                0.66814,                 1.4618,                 2.2796,                0.12627,                 1.6625,                 2.3473,              0.0016634,              0.0016634,              0.0016634
                     19,                0.85731,                 1.3714,                0.30276,                0.74234,                 1.2563,                0.94475,                   0.95,                0.93014,                0.41206,                0.79535,                    0.8,                0.65377,                0.64008,                0.92385,                 2.2032,                0.08269,                  1.972,                 1.6869,              0.0016436,              0.0016436,              0.0016436
                     20,                0.83544,                  1.491,                0.30236,                  0.755,                 1.2333,                0.80914,                   0.81,                 0.7977,                0.39673,                0.79915,                    0.8,                0.67591,                0.67407,                  1.253,                 2.1314,                0.13239,                  2.015,                 2.0266,              0.0016238,              0.0016238,              0.0016238
                     21,                0.83246,                 1.4641,                0.28757,                0.73589,                 1.2304,                0.89918,                    0.9,                0.94146,                0.31785,                0.79933,                    0.8,                0.70592,                0.69068,                 2.0055,                 2.1502,                0.10108,                 1.6186,                 2.9432,               0.001604,               0.001604,               0.001604
                     22,                0.81659,                 1.5294,                0.29213,                0.71797,                 1.2221,                 0.9485,                   0.95,                0.96904,                0.43727,                0.79871,                    0.8,                0.65509,                 0.6485,                 1.3512,                 2.0767,                0.08016,                 2.0112,                 2.3053,              0.0015842,              0.0015842,              0.0015842
                     23,                0.81829,                 1.3096,                0.26278,                0.73462,                  1.222,                0.85801,                   0.86,                0.83515,                 0.3947,                0.79815,                    0.8,                0.68761,                0.68404,                 1.2093,                 2.1342,                0.08623,                 1.9922,                  1.828,              0.0015644,              0.0015644,              0.0015644
                     24,                0.82705,                 1.4777,                0.28138,                0.71434,                 1.2193,                0.90918,                   0.91,                0.89506,                 0.4412,                0.79927,                    0.8,                0.66319,                0.65916,                 1.0176,                 2.0807,                0.05395,                 2.3444,                 1.8192,              0.0015446,              0.0015446,              0.0015446
                     25,                0.82589,                 1.2895,                0.27018,                0.70363,                 1.2233,                0.90739,                   0.91,                0.87774,                0.43886,                 0.7977,                    0.8,                0.69401,                0.68885,                0.85655,                 2.0848,                0.06348,                  1.962,                 1.6668,              0.0015248,              0.0015248,              0.0015248
                     26,                0.77506,                 1.2947,                0.26876,                0.68497,                 1.1841,                 0.8828,                   0.89,                0.85743,                  0.372,                0.79336,                    0.8,                 0.6906,                0.68676,                 1.5215,                 2.0546,                0.06167,                 2.2056,                 2.3499,               0.001505,               0.001505,               0.001505
                     27,                0.79123,                 1.2059,                0.27605,                0.65976,                 1.2026,                0.79581,                   0.81,                0.72759,                0.25504,                0.78599,                    0.8,                0.65566,                0.64994,                 1.5031,                 2.0479,                0.05825,                 2.2136,                 2.4028,              0.0014852,              0.0014852,              0.0014852
                     28,                0.78002,                 1.3014,                0.27693,                0.68333,                 1.1801,                0.94624,                   0.95,                0.93952,                  0.389,                0.79683,                    0.8,                0.66075,                0.65421,                 1.1312,                 2.0535,                0.05778,                 1.9323,                 1.9543,              0.0014654,              0.0014654,              0.0014654
                     29,                0.78758,                 1.5018,                0.26108,                0.65077,                 1.1997,                0.37024,                    0.2,                0.15871,                0.01974,                0.52229,                   0.62,                 0.4707,                 0.4428,                 3.6887,                 2.9848,                0.57524,                 2.1355,                 4.1959,              0.0014456,              0.0014456,              0.0014456
                     30,                0.79004,                 1.2419,                0.25677,                0.66967,                 1.1963,                0.92762,                   0.93,                0.90594,                0.38485,                0.79771,                    0.8,                0.67303,                0.66921,                 1.1353,                 2.0732,                0.06129,                 1.8925,                 1.9131,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.7727,                  1.312,                0.28442,                0.65964,                  1.186,                0.81488,                   0.82,                0.76767,                0.43138,                0.79501,                    0.8,                0.67268,                0.66777,                0.85746,                 2.0758,                0.06951,                  2.493,                 1.5772,               0.001406,               0.001406,               0.001406
