                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6717,                 6.8738,                0.72015,                 1.4309,                 1.9594,                0.18718,                0.78297,                0.18306,                0.04428,                0.54478,                   0.73,                0.46048,                0.18136,                 3.2696,                 5.0952,                0.70918,                 14.251,                 6.4903,             0.00064706,             0.00064706,             0.00064706
                      1,                 1.1444,                 4.0826,                0.64898,                0.83753,                 1.4479,                0.89487,                    0.9,                0.88992,                0.23903,                 0.0381,                    0.1,                0.00499,                0.00114,                 2.0941,                 6.2499,                0.35487,                  8.463,                 4.4422,              0.0013007,              0.0013007,              0.0013007
                      2,                 1.1093,                 3.0775,                0.57939,                 0.8192,                 1.4056,                0.43689,                   0.49,                0.39493,                0.10078,                0.42831,                   0.46,                0.32035,                0.09287,                 2.1171,                 5.3878,                0.25542,                 3.1935,                 3.3826,              0.0019412,              0.0019412,              0.0019412
                      3,                 1.1087,                 2.6815,                0.53379,                0.80647,                 1.4108,                0.86139,                   0.94,                0.91042,                0.25581,                0.14199,                0.49151,                0.11156,                0.04079,                 2.3433,                 5.1039,                 0.1735,                 3.2394,                 4.0692,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.0338,                 2.2675,                0.50728,                 0.7816,                 1.3593,                0.91292,                   0.91,                0.87745,                0.24404,                0.79223,                   0.79,                 0.6646,                0.37236,                 2.3838,                 3.3667,                0.22951,                 1.6941,                  3.275,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0241,                 2.2116,                0.48019,                0.80404,                 1.3344,                0.81405,                 0.8318,                0.80835,                 0.1797,                0.32676,                   0.43,                0.20318,                0.11135,                  2.269,                  4.327,                0.37383,                 2.1061,                 3.2978,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0073,                 2.0863,                0.45579,                0.78824,                  1.325,                0.92076,                0.92965,                0.93577,                0.30173,                0.79927,                    0.8,                0.65607,                 0.5987,                 1.8388,                 2.4479,                0.23516,                 2.2132,                 3.0865,               0.001901,               0.001901,               0.001901
                      7,                0.95098,                 2.0793,                0.44256,                0.77526,                 1.2867,                0.36873,                    0.8,                0.34489,                0.08487,                0.36802,                    0.8,                0.32381,                0.31759,                 1.3256,                 2.4051,                0.28758,                 3.7255,                 2.2488,              0.0018812,              0.0018812,              0.0018812
                      8,                0.92685,                 1.8902,                0.41596,                0.76561,                 1.2779,                0.91913,                   0.92,                0.90907,                0.38226,                0.79924,                    0.8,                0.66681,                0.63725,                 1.4395,                 2.4694,                0.23591,                 2.6767,                 2.4472,              0.0018614,              0.0018614,              0.0018614
                      9,                  0.891,                 1.9562,                0.41082,                0.73737,                  1.242,                0.82115,                   0.85,                0.79372,                0.26738,                0.77645,                    0.8,                0.66525,                0.66163,                  2.037,                 2.1822,                0.24616,                 2.0066,                  3.109,              0.0018416,              0.0018416,              0.0018416
